last_name, first_name,year,pitch_hand,n,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,sl_avg_break,sl_range_speed,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,cu_range_speed,
Archer, Chris,2019,R,2097,35.4,88.7,2613,5.4,-33.8,6.1,1.7,2.0,82.6,2676,4.2,-48.5,8.5,1.9,
Marquez, German,2019,R,2616,21.1,87.4,2371,0.4,-33.5,4.2,2,23.4,84.9,2693,3.2,-43.3,5.4,2.3,
Eickhoff, Jerad,2019,R,974,29.4,83.8,2564,0.1,-32.9,6.9,1.3,31.5,74.6,2744,8.2,-61.2,13.6,1.2,
Hembree, Heath,2019,R,718,16.1,87.5,2624,2.6,-29.0,7.7,1.5,13.9,81.7,2760,9.8,-48.9,12.4,1.8,
Keller, Mitch,2019,R,753,20.8,87.6,2661,4.1,-35.9,4.7,1.3,15.9,81.1,2770,9.2,-56.9,17.1,1.3,
Suarez, Jose,2019,L,1485,3.4,81.4,2476,-3.4,-43.2,4.1,1.9,18.4,75.8,2788,-12.4,-55.8,14.1,1.9,
Coonrod, Sam,2019,R,450,,,,,,,,17.1,86.5,2816,5.8,-43.7,8.7,1.8,
Fried, Max,2019,L,2669,15.9,83.7,2562,-12.7,-42.6,13.7,2.2,24.7,74.5,2844,-9.2,-69.6,20.8,1.7,
Adams, Chance,2019,R,519,16.7,83.5,2986,9.4,-39.9,9.6,1.4,17.3,79.0,2901,17.4,-51.5,18.7,1.5,
Smith, Josh A.,2019,R,593,29.3,86.9,2615,4.3,-28.2,9.7,1.9,23.1,78.0,2920,13.0,-56.4,16.6,1.6,
Guerrieri, Taylor,2019,R,490,,,,,,,,44.4,80.5,2998,11.1,-63.5,21.8,1.6,
Sims, Lucas,2019,R,751,19.0,83.3,3004,11.5,-35.7,13,1.5,24.7,81.6,3120,12.0,-47.7,13.1,1.6,
Bleier, Richard,2019,L,760,6.3,79.7,1970,-3.0,-46.1,4.1,1.6,,,,,,,,
Kintzler, Brandon,2019,R,855,10.1,86.7,2297,-1.2,-33.3,4,1.5,,,,,,,,
Albers, Matt,2019,R,1003,33.0,83.4,2405,5.4,-39.2,6.3,2.2,,,,,,,,
Garcia, Luis,2019,R,1046,34.2,85.2,2315,7.1,-37.5,7.4,1.8,,,,,,,,
Hader, Josh,2019,L,1138,15.5,81.9,2618,-7.4,-39.0,8.9,1.8,,,,,,,,
